"State","Seasonal n","Seasonal %","Seasonal CI","2009 H1N1 n","2009 H1N1 %","2009 H1N1 CI","Location 1"
"Rhode Island","821","63.7%","±3.9","823","62.9%","±3.9","  Rhode Island  (41.70828019300046, -71.52247031399963)"
"Oklahoma","1,432","49.1%","±4.4","1,453","33%","±4.2","  Oklahoma  (35.47203135600046, -97.52107021399968)"
"Ohio","829","42.7%","±4.5","833","40.4%","±4.5","  Ohio  (40.06021014100048, -82.40426005599966)"
"West Virginia","1,121","44.2%","±3.6","1,129","36.4%","±3.5","  West Virginia  (38.66551020200046, -80.71264013499967)"
"South Carolina","676","45.3%","±6.5","684","40.3%","±6.4","  South Carolina  (33.998821303000454, -81.04537120699968)"
"Washington","1,052","53.3%","±4.0","1,054","51.4%","±4.0","  Washington  (47.52227862900048, -120.47001078999972)"
"Illinois","1,071","47.1%","±3.2","1,079","37.7%","±3.1","  Illinois  (40.48501028300046, -88.99771017799969)"
"Texas","898","44.9%","±4.1","909","40.4%","±4.0","  Texas  (31.827240407000488, -99.42677020599967)"
"Maine","709","64%","±4.0","709","58.5%","±4.1","  Maine  (45.254228894000505, -68.98503133599962)"
"Virginia","318","51.2%","±7.3","320","41.3%","±7.1","  Virginia  (37.54268067400045, -78.45789046299967)"
"Utah","1,124","57.8%","±3.2","1,139","47.2%","±3.2","  Utah  (39.360700171000474, -111.58713063499971)"
"Hawaii","974","50.3%","±4.0","987","44.9%","±4.0","  Hawaii  (21.304850435000446, -157.85774940299973)"
"Massachusetts","996","67.5%","±4.0","996","57.6%","±4.2","  Massachusetts  (42.27687047000046, -72.08269067499964)"
"New York","1,587","50.5%","±3.1","1,617","38.4%","±3.0","  New York  (42.82700103200045, -75.54397042699964)"
"Michigan","1,000","44.7%","±3.6","1,009","37.6%","±3.5","  Michigan  (44.6613195430005, -84.71439026999968)"
"Mississippi","862","37.2%","±4.0","866","21.9%","±3.4","  Mississippi  (32.745510099000455, -89.53803082499968)"
"Minnesota","917","67.9%","±3.3","919","52.5%","±3.5","  Minnesota  (46.35564873600049, -94.79420050299967)"
"Vermont","742","66.3%","±3.4","744","63.3%","±3.5","  Vermont  (43.62538123900049, -72.51764079099962)"
"New Jersey","1,053","36.8%","±3.2","1,073","32.2%","±3.0","  New Jersey  (40.13057004800049, -74.27369128799967)"
"Lousianna","540","39.6%","±5.2","546","28.8%","±4.8","  Lousianna "
"Georgia","614","29.9%","±5.6","617","28.4%","±5.6","  Georgia  (32.83968109300048, -83.62758034599966)"
"Maryland","1,080","46.1%","±4.5","1,086","41%","±4.5","  Maryland  (39.29058096400047, -76.60926011099963)"
"Wyoming","617","55.6%","±4.6","628","52.4%","±4.6","  Wyoming  (43.23554134300048, -108.10983035299967)"
"Colorado","1,317","52.8%","±3.8","1,316","44.2%","±3.8","  Colorado  (38.843840757000464, -106.13361092099967)"
"Tennessee","650","41.2%","±5.1","659","29.9%","±4.4","  Tennessee  (35.68094058000048, -85.77449091399967)"
"Missouri","973","42.8%","±3.7","983","38.2%","±3.6","  Missouri  (38.635790776000476, -92.56630005299968)"
"Florida","927","26.1%","±3.3","924","28.7%","±3.5","  Florida  (28.932040377000476, -81.92896053899966)"
"Nebraska","1,198","65.4%","±3.2","1,207","56.5%","±3.3","  Nebraska  (41.6410409880005, -99.36572062299967)"
"Arkansas","1,055","46.7%","±4.1","1,063","39.2%","±3.9","  Arkansas  (34.74865012400045, -92.27449074299966)"
